fetch_time,model_id,name,provider,score,trend,status,confidence_lower,confidence_upper,standard_error,last_updated
2026-04-30 11:45:33,40,claude-sonnet-4-20250514,anthropic,62,stable,warning,63,79.8,3,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,160,claude-sonnet-4-5-20250929,anthropic,62,stable,warning,66.8,76.4,1.7,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,166,deepseek-reasoner,deepseek,62,stable,warning,15.1,72.9,10.4,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,188,claude-opus-4-5-20251101,anthropic,62,up,warning,68.2,71,0.5,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,221,claude-sonnet-4-6,anthropic,62,stable,warning,61.5,83.7,4,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,167,deepseek-chat,deepseek,61,stable,warning,45.2,82.4,6.7,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,204,gpt-5.2,openai,61,stable,warning,46.3,81.3,6.3,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,230,gpt-5.4,openai,61,stable,warning,27.8,79.8,9.4,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,256,gpt-5.5,openai,61,stable,warning,67.2,73.6,1.2,2026-04-30T02:50:37.433Z
2026-04-30 11:45:33,220,claude-opus-4-6,anthropic,60,stable,warning,42.9,79.5,6.6,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,250,claude-opus-4-7,anthropic,60,stable,warning,61.6,70,1.5,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,171,kimi-latest,kimi,58,stable,warning,43.4,80.6,6.7,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,226,gpt-5.3-codex,openai,58,stable,warning,41.7,79.9,6.9,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,185,gemini-3-pro-preview,google,56,stable,warning,45.5,73.3,5,2026-04-30T11:00:00.017Z
2026-04-30 11:45:33,41,grok-4-latest,xai,44,down,warning,12.7,72.1,10.7,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,42,grok-code-fast-1,xai,43,down,warning,13.9,82.1,12.3,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,172,kimi-k2-turbo-preview,kimi,39,stable,critical,20.7,54.1,6,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,38,claude-opus-4-1-20250805,anthropic,38,down,critical,36.2,85.4,8.9,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,44,gemini-2.5-flash,google,38,up,critical,55.3,73.5,3.3,2026-04-30T11:00:00.017Z
2026-04-30 11:45:33,169,kimi-k2-0905-preview,kimi,37,stable,critical,17.9,52.9,6.3,2026-04-30T10:00:01.848Z
2026-04-30 11:45:33,170,kimi-thinking-preview,kimi,37,stable,critical,0,100,20,2026-04-30T02:50:37.415Z
2026-04-30 11:45:33,165,glm-4.6,glm,36,stable,critical,0,100,19.5,2026-04-30T02:50:37.407Z
2026-04-30 11:45:33,217,glm-4.7,glm,36,stable,critical,0,100,19.5,2026-04-30T02:50:37.425Z
2026-04-30 11:45:33,140,grok-4-0709,xai,30,down,critical,9.4,78.2,12.4,2026-04-30T10:00:01.848Z
2026-04-30 17:52:20,188,claude-opus-4-5-20251101,anthropic,63,stable,warning,69,71.8,0.5,2026-04-30T14:00:02.105Z
2026-04-30 17:52:20,167,deepseek-chat,deepseek,62,stable,warning,65.5,75.7,1.8,2026-04-30T14:00:02.105Z
